InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541258,22423,REGENCY CAKESTAND 3 TIER,1,1/16/2011 15:30,12.75,13634,United Kingdom
541258,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,1/16/2011 15:30,2.95,13634,United Kingdom
541258,21355,TOAST ITS - I LOVE YOU ,4,1/16/2011 15:30,1.25,13634,United Kingdom
541258,22914,BLUE COAT RACK PARIS FASHION,1,1/16/2011 15:30,4.95,13634,United Kingdom
541258,22913,RED COAT RACK PARIS FASHION,1,1/16/2011 15:30,4.95,13634,United Kingdom
541258,22912,YELLOW COAT RACK PARIS FASHION,1,1/16/2011 15:30,4.95,13634,United Kingdom
541258,22795,SWEETHEART RECIPE BOOK STAND,3,1/16/2011 15:30,6.75,13634,United Kingdom
541258,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,1/16/2011 15:30,5.95,13634,United Kingdom
541258,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,1/16/2011 15:30,7.95,13634,United Kingdom
541258,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,1/16/2011 15:30,5.95,13634,United Kingdom
541258,82486,WOOD S/3 CABINET ANT WHITE FINISH,2,1/16/2011 15:30,7.95,13634,United Kingdom
541258,22988,SOLDIERS EGG CUP ,12,1/16/2011 15:30,1.25,13634,United Kingdom
541259,20727,LUNCH BAG  BLACK SKULL.,10,1/16/2011 15:38,1.65,14404,United Kingdom
541259,22662,LUNCH BAG DOLLY GIRL DESIGN,10,1/16/2011 15:38,1.65,14404,United Kingdom
541259,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,1/16/2011 15:38,4.25,14404,United Kingdom
541259,22371,AIRLINE BAG VINTAGE TOKYO 78,1,1/16/2011 15:38,4.25,14404,United Kingdom
541259,48184,DOORMAT ENGLISH ROSE ,1,1/16/2011 15:38,7.95,14404,United Kingdom
541259,20725,LUNCH BAG RED RETROSPOT,10,1/16/2011 15:38,1.65,14404,United Kingdom
541259,20727,LUNCH BAG  BLACK SKULL.,10,1/16/2011 15:38,1.65,14404,United Kingdom
